	MLB DL Pitcher	MLB Comp	Cosine Value
110	Carter, Alan	Newcomb, Sean	0.3333333333333333
111	Pryor, Luke	Diekman, Jake	0.3333333333333333
112	Gowens, Riley	Betances, Dellin	0.2981423969999719
113	McMahon, Ian	Grace, Matt	0.2357022603955158
114	Wright, Kerry	Frankoff, Seth	0.35355339059327373
115	Olejnik, Peyton	Betances, Dellin	0.2981423969999719
116	Kiritsis, Daniel	Ginkel, Kevin	0.42640143271122083
117	Jeans, Tyler	Maeda, Kenta	0.31622776601683794
118	Escano, Antonio	Bazardo, Eduard	0.31622776601683794
119	Knoll, Brendan	Oviedo, Johan	0.31622776601683794
120	Bosch, Carter	Strickland, Hunter	0.3333333333333333
121	Olson, Mason	Nance, Tommy	0.2222222222222222
122	Freeberger, Dominic	Nelson, Nick	0.2860387767736777
123	Rackers, Jason 	No Comp	No Similarity
124	Gonzalez, Joan	Castro, Anthony	0.3333333333333333
125	Fosbenner, Xavier	No Comp	No Similarity
126	Dieter, Brandon	No Comp	No Similarity
127	Goodwin, Sean	Soroka, Mike	0.30151134457776363
128	Pintaro, Jonathan	Buehler, Walker	0.31622776601683794
129	Oswald, Wesley	No Comp	No Similarity
