pitcher,avgeffectvelo,avgvelo,avgspinrate,avgrelease,avgextension,avgvertbreak,avghorzbreak
"Velazquez, Ryan",93.90811571428570,94.63534285714290,2292.2232952857100,5.983078571428570,6.431031428571430,-18.917742857142900,14.046650000000000
"Fusco, Sal",92.82026500000000,94.18245000000000,2209.7299860000000,6.27618,5.69204,-16.515085,14.7973025
"De Grandpre, Cedric",91.66903,93.90659714285720,2341.608095857140,5.905017142857140,5.263122857142860,-18.120960000000000,18.00070714285710
"Brandon, Connor",90.312415625,93.263615,2420.2352209375,5.00626953125,4.832241406250000,-24.46729203125,16.20989421875
"Watkins, Creed",90.48690125000000,92.902201875,2229.215587125,5.8375618750000000,5.05972125,-22.15985375,17.55850875
"Noriega, Branden",90.30900588235300,92.7443388235294,2303.4911645294100,6.099068823529410,5.299427647058820,-18.25448823529410,-17.38930294117650
"Bortka, Josh",91.75358272727270,92.58605,2302.528093090910,5.706715454545460,5.861247272727270,-22.718266363636400,15.126083636363600
"Schomberg, Will",88.65805150000000,92.418374,2476.6086982,5.1688375,4.243695000000000,-21.813703000000000,17.4736755
"Patterson, Kyler",90.38132,92.271805,2068.7648475,5.888585,5.398035,-19.443675,13.739520000000000
"Rodriguez, Joe Joe",90.78551916666670,92.20306166666670,2141.913205958330,5.5303714583333300,5.550477291666670,-20.79060125,14.387115208333300
"Roberts, Aaron",92.05958750000000,92.139095,2258.75476,5.376285,6.2936725,-18.7917525,13.834555
"Coles, Chad",90.182185,92.1326,2331.9053680000000,5.883135,5.46352,-21.216645,11.52292
"Minton, Hayden",91.83976214285710,92.12872035714290,1971.8076612142900,5.477150000000000,6.290629285714290,-20.818319285714300,12.53504142857140
"Jeans, Tyler",90.62146250000000,91.96192000000000,2139.7147345000000,5.663405,5.724857500000000,-20.37072,12.8716925
"Marozas, Austin",90.40514229166670,91.92247854166670,2348.447087541670,5.759215625,5.595031875,-27.575340416666700,17.163187500000000
"De Cedric, Grandpre",90.4119372413793,91.90368413793100,2234.010558034480,6.049986206896550,5.594406206896550,-20.12275931034480,17.222808965517200
"Gilchrist, Malcolm",90.02126223214290,91.88892080357140,2225.427173261260,5.147957410714290,5.374052142857140,-22.666610892857100,-16.367101696428600
"Gross, Thomas",88.95858084337350,91.85396602409640,2284.7811535243900,5.491340722891570,4.721853373493980,-28.063111204819300,15.628568554216900
"Hunt, KC",91.005435,91.789625,2357.0720955000000,5.706105,5.9939575000000000,-19.5768225,14.67607
"Patten, Cole",90.80740875,91.73471375,2194.1187031875,5.866498125,5.883176875000000,-22.116958125000000,12.320651875
"Godwin, Connor",90.433948,91.617144,2136.2910666000000,5.648008000000000,5.751532000000000,-23.189140000000000,12.838818000000000
"Sanchez, JJ",89.617274,91.5976124,2100.1781250400000,5.2099852,5.155853200000000,-21.4617656,-14.5104816
"Gowens, Riley",90.14051692307690,91.53008846153850,2187.7199323846200,5.727023076923080,5.558700769230770,-20.40550461538460,14.664896153846200
"Parisi, Jack",90.3498356,91.5209964,2513.83564076,5.5032876,5.501566800000000,-28.571985600000000,10.334170000000000
"Pintaro, Jonathan",90.53622950819670,91.47795000000000,2159.312148934430,4.838598196721310,6.021843442622950,-23.153618852459000,11.546907049180300
"Carter, Alan",90.66289,91.44561,2217.903026,5.96986,6.17383,-19.71962,13.46217
"Oswald, Wesley",89.91506,91.3441,2366.084003,6.19739,5.61045,-19.72123,15.55135
"Modugno, John",89.535626,91.34117200000000,2335.4163274,5.9813540000000000,5.331766,-24.908336,10.698162
"Rodriguez, Mauricio",91.15425597560980,91.24751463414630,2155.432679207320,5.541700243902440,6.449004146341460,-20.436107926829300,15.882265365853700
"Ottinger, Zach",89.34021750000000,91.12517906250000,2146.712746375,5.3586181250000000,5.2466853125,-24.476954375,12.694929375000000
"Amerlaan, Ashe",90.00670454545450,90.99910454545450,2236.457566727270,5.209075454545460,6.065805454545460,-18.72054090909090,-16.645051818181800
"Escano, Antonio",89.50256958333330,90.91960229166670,2332.656247458330,5.295182708333340,5.614759375000000,-20.49386,16.300485416666700
"Bravo, Zach",89.86680615384620,90.86116115384620,2262.8018235384600,5.872997692307690,5.6466526923076900,-20.67812769230770,14.343719615384600
"Bucknam, Micah",90.19688447368420,90.84761210526320,2355.547160815790,5.393626315789470,5.943331578947370,-20.717273684210500,14.050030263157900
"Fernandez, Ronaldo",88.77746090909090,90.81780742424240,2225.5440784545500,5.085025606060610,5.293666212121210,-20.99125651515150,16.152107575757600
"Diedrich, Sayer",88.61913354838710,90.72029000000000,2377.0743010322600,5.711179677419360,5.289450645161290,-23.020609677419400,-16.992931935483900
"Figueroa, Anthony",88.71589521739130,90.71900478260870,2621.2747085217400,5.008494782608700,5.258482608695650,-19.778469565217400,-16.487653913043500
"Ayers, Kyle",88.82551384615380,90.71599384615390,2133.8501753846200,5.841705384615380,5.514447692307690,-19.673838461538500,15.063
"Fruit, Zach",90.77588,90.69945,2269.402751,5.83723,6.66512,-23.66997,11.6019
"Roberston, Trae",89.067706,90.67736700000000,2245.6538846000000,5.615871000000000,5.52286,-21.455376000000000,-12.349975
"Sikorski, Easton",88.83866205882350,90.59706205882350,2157.139674323530,5.6748682352941200,5.441022941176470,-24.18004794117650,14.627917352941200
"Morris, Gunner",89.08866333333330,90.57910555555560,2035.6832624444400,5.9707566666666700,5.517666666666670,-23.068437037037000,15.288675185185200
"Becker, Austin",88.55725666666670,90.56111,2226.684784,6.247723333333330,5.203106666666670,-22.316136666666700,13.715413333333300
"Mollerus, Josh",88.42327461538460,90.52951692307690,2283.0678997692300,6.2102038461538500,5.325066153846160,-18.311883846153800,15.683363846153800
"Gonzalez, Jesus",87.88495,90.52053,2298.979878,6.41677,4.91644,-19.75623,13.65761
"Ammerlaan, Ashe",89.15296953271030,90.45473252336450,2228.9577516729000,5.148788691588790,5.865746635514020,-20.994452523364500,-17.844603644859800
"Mineo, Ricky",90.80887,90.43738333333330,1999.210894,6.156503333333330,6.728000000000000,-17.398443333333300,13.47099
"Johnson, Tyler",88.72048177777780,90.30667222222220,2117.2353998666700,5.088583111111110,5.473522,-21.100259555555600,14.786907333333300
"Wendell, Wyatt",88.106264,90.288033,2036.0560594000000,6.50903,5.188538,-24.528817000000000,13.803267
"Stevens, Will",89.24272636363640,90.28216636363640,2051.586334909090,5.669004545454550,5.759476363636360,-25.953073636363600,11.115313636363600
"Wilson, Benjamin",89.03167794117650,90.25747455882350,2221.033497029410,5.294386911764710,5.629712647058820,-23.711694411764700,-13.354725147058800
"Hansen, Brett",88.383725,90.210775,1750.040243,6.09282,5.363695,-23.393515,-11.76879
"Reeves, Cobe",88.87757590909090,90.20828363636360,2122.2428170000000,6.001797272727270,5.577786363636360,-23.88291909090910,-14.700966818181800
"Spoljaric, Turner",88.74523150000000,90.1961055,2265.8646836,5.5817205,5.399608500000000,-23.346747,12.1563355
"Nett, Braden",88.617452,90.16908200000000,2323.3911886,5.513528,5.53452,-21.332072000000000,16.172256000000000
"Cherry, Derrick",88.06978808510640,90.16001723404260,2240.6737551914900,5.34974340425532,5.290604255319150,-24.128274468085100,15.853611914893600
"Camfield, Geoffrey",87.56895235294120,90.10576764705880,2084.216782352940,5.839371176470590,4.86172294117647,-21.821611176470600,13.927823529411800
"Palumbo, Nick",88.36903764705880,90.05591764705880,2337.0252524117600,5.453848823529410,5.448261176470590,-19.08249823529410,15.27944705882350
"Ronan, Mason",88.31348250000000,89.97177500000000,2151.39343525,5.780935,5.68674,-18.5473125,-13.409907500000000
"Tieding, Matthew",86.98335769230770,89.91006076923080,2234.919220076920,5.972970769230770,4.581831538461540,-23.891906923076900,13.617915384615400
"Kiritsis, Daniel",89.5217738095238,89.89314428571430,1990.2358098571400,5.973915238095240,6.107402380952380,-23.901971904761900,9.693245238095240
"Kengott, Jared",88.4489661904762,89.86363888888890,2240.975867047620,5.627589047619050,5.594622380952380,-22.35466619047620,14.656291904761900
"Thompson, Wyatt",87.74645,89.83419,2219.732561,5.7629,5.17178,-22.32832,12.4639
"Drees, Derek",87.83727071428570,89.82798,2266.691097357140,6.000135,5.407087857142860,-19.799832142857100,16.00174357142860
"Cespedes, Angel",88.019845,89.76783500000000,2138.680914,5.63147,5.422365,-21.908045,13.23916
"Wright, Kerry",89.6632842857143,89.68424634920640,2199.762164095240,5.314847619047620,6.427840000000000,-22.741276190476200,17.200932857142900
"Knoll, Brendan",88.91559929824560,89.67279649122810,2169.701267736840,5.560716842105260,5.893665789473690,-27.15548350877190,11.467131228070200
"Hansel, Luke",88.40010142857140,89.66025500000000,2164.480865642860,5.730250714285720,5.610702142857140,-22.96607214285710,13.22500142857140
"Gonzalez, Joan",88.04433,89.59672,2192.881794,5.28153,5.48305,-23.17438,10.3526
"Pryor, Luke",88.44471241935480,89.55837838709680,2200.285323354840,5.853254193548390,5.678963064516130,-21.699225,14.414413870967700
"Elissalt, Frank",88.00290538461540,89.55111153846150,2458.0616935384600,5.3863738461538500,5.587986923076920,-20.572596923076900,15.463546153846200
"Saathoff, Allan",89.21356,89.4302,2255.13751,5.38709,6.29925,-24.79096,12.47264
"Gill, Elijah",88.27251853658540,89.42938170731710,2089.2907161707300,5.9050068292682900,5.721473170731710,-19.113945121951200,-14.335914634146300
"Pratt, Davis",87.82941430232560,89.41845744186050,2287.3940826744200,5.461543720930230,5.512914534883720,-22.922352906976700,16.83579662790700
"Walling, Andrew",87.92684,89.41129,2228.537241,5.56737,5.548,-22.00107,-18.95635
"Allain, Luke",87.48993642857140,89.3858292857143,2071.0986738571400,5.532537142857140,5.326529285714290,-18.941068571428600,-13.98917
"Sapp, Eric",88.07643571428570,89.35247285714290,2083.5345511428600,6.04706,5.787721428571430,-18.54848,-13.93794428571430
"Davitt, Duncan",89.0513482352941,89.2908611764706,2058.0964782941200,5.020541764705880,6.23298705882353,-22.655028235294100,11.165045882352900
"Wall, Chris",88.1027625,89.22999250000000,1950.58871025,5.495627500000000,5.8771675000000000,-18.9537125,-11.9490825
"Peaden, Jacob",89.04924636363640,89.21754454545450,2196.5834647272700,5.444911818181820,6.296001818181820,-29.080425454545500,16.342741818181800
"Wilhite, Thomas",88.05580933333330,89.20423866666670,2032.1230928666700,5.824298000000000,5.514726,-24.949840666666700,11.127305333333300
"Drake, Kohl",87.58939,89.17202333333330,2207.866418,6.017355000000000,5.579141666666670,-20.77148,-17.447578333333300
"Kush, Jacob",86.21527500000000,89.14468,2275.5256897500000,5.762375,4.6327575,-22.53209,13.952555000000000
"Tullar, Cameron",87.8566328125,89.12439421875000,2328.77038946875,4.87993125,5.62956046875,-25.234344375,-12.076951875000000
"Morrissette, Wagner",87.14766454545450,89.10706818181820,2235.1764447727300,5.5663754545454500,5.445768181818180,-20.871184090909100,16.05860909090910
"Stewart, Justin",88.85111571428570,89.01006285714290,2087.4875732857100,5.474425714285710,6.521695714285710,-19.761085714285700,13.661717142857100
"Cheeley, Austin ",87.90616268292680,88.98720463414640,2145.9269833658500,6.039361707317070,5.8251821951219500,-25.594034878048800,15.515481707317100
"Richardson, Maddex",87.73726142857140,88.95507000000000,2105.6410302857100,6.185535714285710,5.596401428571430,-22.09588857142860,12.335490000000000
"DePrimo, Hunter",86.52644125,88.91869895833330,2250.7704014583300,4.646592291666670,5.106662291666670,-25.03116479166670,15.029438541666700
"Steward, Casey",87.89592000000000,88.65043,2131.5142960000000,6.017265,6.0631450000000000,-20.903870000000000,14.244335
"Milberg, Devin",86.36024888888890,88.63341444444440,2301.049825,6.030795555555560,5.076683333333330,-21.912195555555600,-13.917912222222200
"Fosbenner, Xavier",86.93362,88.49112857142860,2199.5831341428600,5.1328500000000000,5.580802857142860,-25.010232857142900,12.55986
"Goodwin, Sean",87.14685111111110,88.47671733333330,2291.8066061333300,5.905808444444440,5.815556,-21.46909777777780,16.862888444444400
"Dieter, Brandon",86.15835250000000,88.39577250000000,2038.87355725,5.226575,5.066190000000000,-25.401805,11.5166
"Thompson , Wyatt",85.57217000000000,88.37560666666670,2179.8873733333300,5.80086,4.92211,-23.83395,14.606506666666700
"Shalley, Tucker",86.91753861111110,88.33772444444450,2132.264428472220,5.839209027777780,5.700332638888890,-23.993700694444400,16.41122763888890
"Schueler, Jay",87.938915,88.1768225,2214.4484325000000,5.7522725,6.1756525,-24.616785,12.165595
"Yamane, Tiaga",86.46624,88.11078,2069.986698,5.70506,5.42846,-26.20749,14.40969
"Galatas, Nikelle",86.17730235294120,88.03872411764710,2160.321049941180,5.55340294117647,5.450774705882350,-21.963311764705900,16.248890588235300
"Cook, Jeremy",86.49048166666670,88.00565777777780,2047.2701298055600,5.515387500000000,5.662217222222220,-23.051278333333300,-16.141734444444400
"Bosch, Carter",87.88805833333330,87.92834,2256.8235456666700,5.528901666666670,6.361998333333330,-26.192088333333300,15.14367
